City,Countries,Temp,Humidity,Pressure,Latitude,Longitude
Bend,US,50.07,34,1019,44.0582,-121.3153
Kibala,TD,85.95,66,1009,9.1104,18.3463
Saint-Philippe,RE,72.99,79,1013,-21.3585,55.7679
Pangoa,PE,74.98,73,1009,-12.1167,-73.0
Umluj,SA,82.27,35,1011,25.0213,37.2685
Gamba,GA,77.74,92,1011,-2.65,10.0
Kanigiri,IN,82.49,58,998,15.4,79.5167
East London,ZA,66.58,42,1010,-33.0153,27.9116
Huaiyuan,CN,59.58,85,1014,32.973,117.1995
Shahreza,IR,58.77,28,1014,32.0339,51.8794
Salinas,US,58.28,45,1023,36.6777,-121.6555
Kieta,PG,84.0,73,1010,-6.2167,155.6333
Cape Town,ZA,58.66,92,1016,-33.9258,18.4232
Jiuquan,CN,56.95,33,1009,39.7432,98.5174
Bengkulu,ID,77.99,85,1009,-3.8004,102.2655
Severobaykal'sk,RU,31.35,65,1026,55.65,109.3167
Udachny,RU,33.4,94,1016,66.4167,112.4
Puksoozero,RU,36.19,73,1016,62.5903,40.6066
Tiznit Province,MA,75.25,23,1016,29.5833,-9.5
Povenets,RU,37.26,88,1013,62.8487,34.8262
Sarkand,KZ,58.73,64,1019,45.41,79.9186
Kapaa,US,78.66,75,1018,22.0752,-159.319
Lompoc,US,58.33,58,1020,34.6391,-120.4579
São Filipe,CV,73.22,80,1016,14.8961,-24.4956
Lorengau,PG,84.27,73,1009,-2.0226,147.2712
Tuatapere,NZ,51.87,65,1031,-46.1333,167.6833
Pudozh,RU,38.14,78,1016,61.8099,36.5345
Port-Cartier,CA,45.77,84,1032,50.0334,-66.8654
Kahului,US,82.67,62,1017,20.8947,-156.47
Sola,VU,80.96,82,1011,-13.8833,167.55
Sobolevo,RU,39.78,72,1019,54.4299,31.8996
Sal Rei,CV,70.97,86,1016,16.1833,-22.9167
Qingyang,CN,55.53,78,1017,37.4958,121.2581
Kampene,CD,69.48,91,1010,-3.6,26.6667
Gravdal,NO,42.03,98,995,68.1214,13.5031
Manta,EC,74.98,83,1011,-0.95,-80.7333
Dongkan,CN,59.77,85,1015,33.9997,119.8308
Medicine Hat,CA,58.84,33,1009,50.0501,-110.6683
Itacarambi,BR,71.82,35,1013,-15.1022,-44.0919
Letterkenny,IE,48.24,80,1001,54.95,-7.7333
Mersin Province,TR,61.79,76,1015,36.862,34.6509
Paracuru,BR,81.1,88,1013,-3.41,-39.0306
Jinchang,CN,57.11,44,1010,38.4953,102.1739
Bo`ka,UZ,65.48,80,1017,40.8108,69.1986
Coquimbo,CL,56.93,100,1014,-29.9533,-71.3436
George Town,MY,80.26,88,1007,5.4112,100.3354
San Rafael,AR,61.88,41,1019,-34.6177,-68.3301
Alekseyevskoye,RU,48.74,97,999,55.3071,50.1135
Pakse,LA,75.85,87,1008,15.1167,105.7833
Hong Kong,HK,77.59,95,1007,22.2855,114.1577
Geraldton,AU,59.41,94,1014,-28.7667,114.6
Cabo San Lucas,MX,89.91,25,1012,22.8909,-109.9124
Torbay,CA,49.1,44,1034,47.6666,-52.7314
Ganzhou,CN,63.99,89,1012,28.8184,115.4327
Faanui,PF,82.27,73,1013,-16.4833,-151.75
Stephenville,US,90.91,49,1016,32.2207,-98.2023
Mahébourg,MU,73.69,94,1013,-20.4081,57.7
Victor Harbor,AU,53.67,76,1025,-35.5667,138.6167
Dingle,PH,81.07,79,1009,10.9995,122.6711
Stornoway,GB,46.18,92,993,58.2093,-6.3865
Sitka,US,42.69,75,1009,57.0531,-135.33
Wajima,JP,62.1,63,1018,37.4,136.9
Lubango,AO,62.46,49,1016,-14.9172,13.4925
Paka,MY,76.93,94,1007,4.6374,103.4368
Guerrero Negro,MX,66.36,58,1014,27.9769,-114.0611
Polewali,ID,78.69,87,1009,-3.4324,119.3435
Thompson,CA,62.76,42,1006,55.7435,-97.8558
Biberach an der Riss,DE,58.39,77,1019,48.0934,9.7905
Narsaq,GL,46.62,86,1009,60.9167,-46.05
Pevek,RU,29.07,76,1010,69.7008,170.3133
Weyburn,CA,59.22,36,1014,49.6668,-103.8511
Tezu,IN,70.72,97,1008,27.9167,96.1667
Ahipara,NZ,62.02,53,1027,-35.1667,173.1667
Vitorino Freire,BR,73.71,96,1013,-4.0667,-45.1667
Harper,LR,80.08,83,1013,4.375,-7.7169
Constitución,CL,57.18,71,1016,-35.3333,-72.4167
Oktyabr'skiy,RU,50.16,95,1000,54.4815,53.471
Talnakh,RU,14.09,97,1018,69.4865,88.3972
Jilotzingo,MX,84.88,18,1011,19.87,-99.0578
Puerto Lleras,CO,75.87,91,1008,3.0223,-73.4044
Emerald,AU,66.34,100,1015,-23.5333,148.1667
Ribeira Grande,PT,61.81,90,1026,38.5167,-28.7
Santo Tomas,PH,82.51,74,1010,14.1079,121.1414
Crawley,GB,54.41,79,1013,51.113,-0.1831
Coyhaique,CL,44.55,81,1022,-45.5752,-72.0662
Robertsport,LR,81.91,84,1012,6.7533,-11.3686
Kommunisticheskiy,RU,52.2,60,1016,61.6789,64.4819
Duartina,BR,78.15,74,1014,-22.4144,-49.4039
Coruripe,BR,75.52,86,1014,-10.1256,-36.1756
Mount Gambier,AU,42.71,93,1026,-37.8333,140.7667
Zabid,YE,84.56,69,1008,14.1951,43.3152
Aykhal,RU,33.33,96,1016,66.0,111.5
Tarko-Sale,RU,33.55,99,1020,64.9225,77.785
Canindé de São Francisco,BR,74.86,78,1014,-9.66,-37.7894
Pisco,PE,64.45,88,1014,-13.7,-76.2167
Puro,PH,81.79,76,1010,12.4841,123.3827
Garissa,KE,77.86,79,1011,-0.4536,39.6401
Suifenhe,CN,53.04,27,1012,44.4,131.1667
Ikeda,JP,63.39,85,1018,34.8221,135.4298
Atar,MR,90.9,15,1013,20.5169,-13.0499
Porgera,PG,51.87,74,1015,-5.4667,143.2
Ancud,CL,49.3,84,1020,-41.8697,-73.8203
Laguna,US,58.62,42,1021,38.421,-121.4238
Manavgat,TR,63.82,61,1014,36.7867,31.4431
Roald,NO,48.76,81,997,62.5833,6.1333
Yar-Sale,RU,17.64,98,1020,66.8333,70.8333
Caravelas,BR,72.25,82,1016,-17.7125,-39.2481
Souillac,MU,73.78,94,1013,-20.5167,57.5167
Nuuk,GL,32.61,100,1007,64.1835,-51.7216
Port Elizabeth,ZA,64.31,88,1012,-33.918,25.5701
Najrān,SA,79.45,23,1013,17.4924,44.1277
Hofn,IS,39.9,61,995,64.2539,-15.2082
Conde,BR,76.46,94,1013,-7.2597,-34.9075
Saskylakh,RU,19.85,87,1008,71.9167,114.0833
Skibbereen,IE,53.11,89,1009,51.55,-9.2667
Ixtapa,MX,81.63,69,1009,20.7,-105.2
Bowen,AU,69.94,92,1012,-20.0167,148.2333
Ürümqi,CN,61.75,27,1012,43.801,87.6005
Chenzhou,CN,59.88,98,1012,25.8,113.0333
Kumul,CN,62.13,11,1008,42.8,93.45
Durban,ZA,63.77,88,1016,-29.8579,31.0292
Sosnogorsk,RU,31.69,91,1017,63.6023,53.8817
Verkhoyansk,RU,20.62,76,1015,67.5447,133.385
La Plata,AR,60.08,76,1018,-34.9215,-57.9545
Westport,US,61.05,48,1025,41.1415,-73.3579
Basoko,CD,72.99,91,1011,1.2391,23.616
Hrubieszów,PL,46.83,67,1021,50.805,23.8925
São João da Barra,BR,69.6,88,1017,-21.6403,-41.0511
Shunyi,CN,49.95,93,1018,40.125,116.6453
Kisanga,TZ,70.92,94,1014,-7.4362,37.7034
Yeppoon,AU,69.58,91,1015,-23.1333,150.7333
Puerto Escondido,MX,86.83,66,1009,15.85,-97.0667
Ilave,PE,44.83,49,1014,-16.0833,-69.6667
Sechura,PE,72.16,65,1011,-5.5569,-80.8222
Provost,CA,57.65,49,1011,52.3501,-110.2683
Diffa,NE,91.4,31,1006,13.3154,12.6113
Alofi,NU,80.49,74,1013,-19.0595,-169.9187
Inuvik,CA,34.52,72,1018,68.3499,-133.7218
Naze,JP,70.72,69,1013,28.3667,129.4833
Kabare,CD,60.71,97,1015,-2.4683,28.8242
Broken Hill,AU,53.31,94,1020,-31.95,141.4333
Bathsheba,BB,81.21,78,1013,13.2167,-59.5167
Ponta do Sol,PT,69.12,48,1018,32.6667,-17.1
Borazjan,IR,81.52,21,1008,29.2666,51.2159
Salalah,OM,82.49,74,1007,17.0151,54.0924
Socorro,US,92.57,9,1015,31.6546,-106.3033
Dandong,CN,54.5,72,1017,40.1292,124.3947
Benghazi,LY,63.43,77,1019,32.1167,20.0667
The Pas,CA,57.22,41,1006,53.8251,-101.2541
Buala,SB,81.95,80,1010,-8.145,159.5921
Grimshaw,CA,42.42,61,1009,56.1834,-117.6027
Jiayuguan City,CN,56.17,32,1010,39.8167,98.3
Misawa,JP,61.61,52,1020,40.6836,141.3597
Vardø,NO,37.38,100,1001,70.3705,31.1107
Yangi Marg`ilon,UZ,63.32,77,1017,40.4272,71.7189
Nísia Floresta,BR,79.18,85,1013,-6.0911,-35.2086
Rodrigues Alves,BR,82.6,97,1009,-7.738,-72.6509
Ubari,LY,77.02,16,1012,26.5921,12.7805
Pelym,RU,49.24,70,1014,61.0108,61.9978
Moramanga,MG,57.0,91,1015,-18.9333,48.2
Krasnoarmeysk,RU,37.04,76,1008,51.0239,45.6969
Bandundu Province,CD,74.68,91,1009,-3.3167,17.3667
Port Hardy,CA,51.98,76,1021,50.6996,-127.4199
Bonthe,SL,80.76,86,1012,7.5264,-12.505
Kruisfontein,ZA,60.04,76,1013,-34.0033,24.7314
Lerwick,GB,48.2,86,995,60.1545,-1.1494
Show Low,US,73.9,13,1015,34.2542,-110.0298
Kuruman,ZA,56.19,35,1017,-27.4524,23.4325
Meulaboh,ID,77.34,90,1009,4.1363,96.1285
Omsukchan,RU,31.21,97,1013,62.5333,155.8
Ostrovnoy,RU,39.56,88,1006,68.0531,39.5131
Kulhudhuffushi,MV,83.73,77,1006,6.6221,73.07
Olafsvik,IS,35.62,91,998,64.8945,-23.7142
Arua,UG,68.72,68,1010,3.0201,30.9111
Moundou,TD,83.7,49,1008,8.5667,16.0833
Bourail,NC,76.41,59,1018,-21.5667,165.4833
Abbeville,FR,54.27,85,1016,50.1,1.8333
Chara,RU,28.63,57,1023,56.9064,118.2631
Mathbaria,BD,77.47,90,1005,22.2876,89.9593
Seoul,KR,61.34,62,1016,37.5683,126.9778
Yeniseysk,RU,35.22,72,1033,58.4497,92.1703
Esperance,AU,62.44,34,1016,-33.8667,121.9
Beringovskiy,RU,38.08,90,1017,63.05,179.3167
Warrington,GB,54.93,69,1009,53.3925,-2.5802
Itarema,BR,76.17,87,1013,-2.9248,-39.9167
Stromness,GB,48.87,84,994,58.965,-3.296
Yur’yevets,RU,42.75,91,1007,57.3201,43.1041
Asău,RO,47.95,98,1029,46.4333,26.4
Yorkton,CA,46.71,71,1014,51.2167,-102.4677
Ushtobe,KZ,61.41,65,1018,45.2514,77.9838
Sarangani,PH,80.62,83,1009,5.4033,125.4636
Nikaia,GR,61.65,34,1016,37.9667,23.65
Saint Anthony,US,78.37,26,1016,45.0205,-93.218
Rantepao,ID,68.58,98,1012,-2.9701,119.8978
Beeville,US,87.66,55,1014,28.4008,-97.7483
Prince Rupert,CA,43.2,85,1016,54.3161,-130.3201
Lakes Entrance,AU,56.43,76,1029,-37.8811,147.981
Dali,CN,60.48,92,1008,25.7,100.1833
Great Yarmouth,GB,57.94,70,1012,52.6083,1.7305
Zhengjiatun,CN,46.65,67,1016,43.5064,123.5064
Porto Walter,BR,75.09,97,1009,-8.2686,-72.7439
Vila do Maio,CV,74.19,85,1016,15.1333,-23.2167
Verkh-Usugli,RU,31.06,53,1020,52.7,115.1667
Rocha,UY,57.6,96,1016,-34.4833,-54.3333
Toktogul,KG,59.97,84,1017,41.8708,72.9402
Mossamedes,AO,74.52,57,1012,-15.1961,12.1522
San Lorenzo,PY,65.59,82,1016,-25.3333,-57.5333
Arman',RU,37.02,97,1018,59.7,150.1667
Hasaki,JP,61.2,83,1021,35.7333,140.8333
Riyadh,SA,82.54,14,1010,24.6877,46.7219
Deogarh,IN,78.42,81,1003,21.5333,84.7333
Brae,GB,47.53,87,994,60.3964,-1.353
Maniitsoq,GL,28.17,76,1008,65.4167,-52.9
Arlit,NE,90.16,14,1005,18.7369,7.3853
Konëvo,RU,37.74,76,1016,62.1215,39.3192
Mitsamiouli,KM,79.52,69,1012,-11.3847,43.2844
Province of Mantua,IT,61.5,77,1018,45.1667,10.7833
Kharp,RU,18.57,84,1020,66.8014,65.8081
Crato,BR,80.31,74,1016,-7.2342,-39.4094
Esna,EG,80.62,17,1013,25.2934,32.554
Vanimo,PG,82.09,81,1009,-2.6741,141.3028
Udimskiy,RU,36.12,81,1015,61.1417,45.9144
Champerico,GT,84.74,71,1008,14.3,-91.9167
Saldanha,ZA,57.25,94,1017,-33.0117,17.9442
Kaka,TM,64.27,71,1017,37.3482,59.6143
Grindavik,IS,39.67,75,996,63.8424,-22.4338
Palmas Bellas,PA,81.0,78,1009,9.2319,-80.0867
Mezen',RU,37.27,88,1013,65.8522,44.24
Garbolovo,RU,46.98,78,1015,60.3413,30.4955
Quba,AZ,47.55,97,1019,41.3626,48.5152
Pundaguitan,PH,81.14,79,1009,6.3711,126.1689
Tasiilaq,GL,26.76,90,1012,65.6145,-37.6368
Panama City,PA,80.78,90,1008,8.9936,-79.5197
Noumea,NC,77.0,99,1019,-22.2763,166.4572
Bulgan,MN,31.28,52,1028,48.8125,103.5347
Khuzdar,PK,81.68,19,1005,27.7384,66.6434
Nadym,RU,29.97,92,1021,65.5333,72.5167
Lavrentiya,RU,32.77,98,1014,65.5833,-171.0
Ust-Nera,RU,32.05,95,1006,64.5667,143.2
Mokrous,RU,39.13,72,1008,51.2333,47.5167
Touros,BR,77.41,81,1013,-5.1989,-35.4608
Tamayo,DO,82.11,74,1012,18.3947,-71.2029
Hambantota,LK,81.19,80,1005,6.1241,81.1185
Tevriz,RU,49.95,52,1021,57.509,72.4042
Rome,US,75.34,23,1026,43.2128,-75.4557
Pyapon,MM,77.61,89,1007,16.2833,95.6833
Isla Mujeres,MX,84.16,71,1013,21.2311,-86.731
Wanning,CN,79.03,92,1007,18.8003,110.3967
Karratha,AU,69.21,25,1014,-20.7377,116.8463
Margate,GB,56.35,71,1014,51.3813,1.3862
Severo-Kuril'sk,RU,37.09,80,1016,50.6789,156.125
Faya,SA,68.52,54,1014,18.3851,42.4509
Doha,QA,82.35,34,1007,25.2867,51.5333
Salekhard,RU,19.06,97,1020,66.53,66.6019
Rakaia,NZ,47.28,69,1032,-43.75,172.0167
Mishan,CN,56.19,38,1011,45.55,131.8833
Coracora,PE,49.89,51,1019,-15.0333,-73.7833
Liverpool,GB,55.02,69,1007,53.4106,-2.9779
Kassala,SD,85.73,15,1006,15.451,36.4
Camacha,PT,62.02,88,1018,33.0833,-16.3333
Arrondissement de Bourges,FR,59.65,83,1018,47.25,2.4167
Kemerovo,RU,37.09,41,1027,55.3333,86.0833
Kribi,CM,78.49,88,1011,2.95,9.9167
Nurota,UZ,61.47,41,1018,40.5614,65.6886
Verchères,CA,77.14,20,1028,45.7834,-73.3492
Pánuco,MX,91.89,53,1010,22.05,-98.1667
Barcelona,ES,64.56,65,1022,41.3888,2.159
Matveyev Kurgan,RU,42.35,71,1016,47.5645,38.8695
Khuzhir,RU,33.08,72,1026,53.1939,107.3397
Batagay-Alyta,RU,15.57,68,1014,67.8006,130.4114
Baguanos,CU,68.29,73,1013,20.7517,-76.0269
Grand Gaube,MU,76.37,79,1013,-20.0064,57.6608
Havre-St-Pierre,CA,53.96,35,1033,50.2334,-63.5986
Yumen,CN,58.06,26,1010,40.2833,97.2
Nantong,CN,65.98,85,1013,32.0303,120.8747
Srednekolymsk,RU,23.38,79,1013,67.45,153.6833
Lata,PT,55.63,71,1020,40.1629,-8.3327
Ridgecrest,US,66.63,17,1012,35.6225,-117.6709
Komatipoort,ZA,62.17,89,1017,-25.4332,31.9548
Nong’an,CN,44.96,72,1014,44.382,125.1685
Yuzhno-Kurilsk,RU,46.96,64,1021,44.0306,145.8556
Novonukutskiy,RU,36.52,50,1030,53.7002,102.7117
Mananjary,MG,67.59,70,1012,-21.2167,48.3333
Mackay,AU,69.78,94,1015,-21.15,149.2
Kamina,CD,64.42,74,1013,-8.7386,24.9906
Yarmouth,US,51.24,66,1027,41.7057,-70.2286
Whitehorse,CA,38.12,79,1004,60.7161,-135.0538
Mahajanga,MG,73.42,83,1011,-15.7167,46.3167
Kenai,US,48.25,30,1014,60.5544,-151.2583
Broome,US,75.58,18,1026,42.2506,-75.833
Sarai Sidhu,PK,91.54,15,999,30.5949,71.9698
Fairlie,GB,49.59,89,999,55.756,-4.8556
Nur-Sultan,KZ,53.55,94,1013,51.1801,71.446
Calvinia,ZA,47.3,42,1018,-31.4707,19.776
Carlyle,US,86.68,65,1015,38.6103,-89.3726
Bāgeshwar,IN,64.11,75,1009,29.85,79.7667
Merauke,ID,80.91,85,1008,-8.4667,140.3333
Uglich,RU,40.3,67,1014,57.5275,38.3317
Nara,JP,65.84,51,1019,34.6851,135.8049
Pedernales,DO,81.86,70,1013,18.0384,-71.744
Tadine,NC,74.43,70,1018,-21.55,167.8833
Tinskoy,RU,34.52,48,1033,56.1525,96.9161
Altay,CN,46.69,27,1014,47.8667,88.1167
Klaksvík,FO,47.32,86,989,62.2266,-6.589
Pacific Grove,US,56.43,60,1023,36.6177,-121.9166
Sokoni,TZ,81.07,74,1012,-6.4333,39.55
San Carlos,VE,76.77,89,1010,9.6612,-68.5827
Ndélé,CF,81.86,48,1008,8.4109,20.6473
Walvis Bay,NA,61.75,72,1014,-22.9575,14.5053
Kaa-Khem,RU,31.73,76,1029,51.6833,94.7333
Acapulco de Juárez,MX,85.46,59,1008,16.8634,-99.8901
Berbera,SO,82.65,74,1009,10.4396,45.0143
Amboasary,MG,66.45,88,1014,-25.0333,46.3833
Bambanglipuro,ID,78.13,90,1008,-7.95,110.2833
Muleba,TZ,68.0,82,1011,-1.8397,31.6544
Basco,PH,83.84,72,1009,20.4487,121.9702
Gizo Government Station,SB,84.24,74,1009,-8.103,156.8419
Shache,CN,68.72,16,1003,38.4167,77.2406
Koslan,RU,28.96,95,1018,63.4564,48.8989
San Cristobal,VE,77.18,99,1012,7.7669,-72.225
Xiaoyi,CN,64.47,73,1012,34.6178,109.703
Urengoy,RU,27.63,97,1021,65.9667,78.3667
Suez,EG,66.85,52,1015,29.9737,32.5263
Korla,CN,72.48,27,1006,41.7597,86.1469
Ifanadiana,MG,61.77,72,1013,-21.3,47.6333
Torrington,US,64.04,34,1028,41.8007,-73.1212
Adrar,MR,86.27,10,1013,20.5022,-10.0711
Sitges,ES,64.06,55,1017,41.2351,1.8119
Solnechnyy,RU,63.18,43,1009,50.7214,136.6319
Avera,US,79.95,40,1020,33.194,-82.5271
Qeshm,IR,75.07,78,1004,26.9581,56.2719
Byron Bay,AU,71.49,75,1024,-28.65,153.6167
Namatanai,PG,84.42,69,1009,-3.6667,152.4333
Novomykolayivka,UA,41.25,67,1018,47.9781,35.9102
Gusau,NG,88.48,38,1009,12.1628,6.6614
Machilipatnam,IN,81.32,85,990,16.1667,81.1333
Cap Malheureux,MU,76.46,79,1013,-19.9842,57.6142
São José da Coroa Grande,BR,77.23,80,1014,-8.8978,-35.1478
Kavaratti,IN,84.96,68,1005,10.5669,72.642
Choix,MX,101.32,13,1008,26.7092,-108.3219
Chapais,CA,74.98,31,1022,49.7834,-74.8492
Rāzole,IN,80.42,85,994,16.4833,81.8333
Kalutara,LK,81.52,85,1005,6.5831,79.9593
Sur,OM,83.17,49,1003,22.5667,59.5289
Melo,UY,58.73,96,1015,-32.3667,-54.1833
Topolčani,MK,48.63,89,1021,41.2286,21.4314
Smoky Lake,CA,38.48,56,1011,54.1169,-112.4686
